,smiles
741,NC(=O)c1ccnc(Cl)c1
673,CC(=O)N1CC[NH+](Cc2ccc(Br)s2)CC1
377,NC(=O)C1CCN(C(=O)Nc2ccccc2)CC1
675,CC(=O)N1Cc2ccccc2[C@H](c2ccccc2)C1
248,O=C(Cc1cccc(Cl)c1)Nn1cnc2ccccc21
686,CS(=O)(=O)c1ccc(N2CC[NH2+]CC2)cc1
547,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cccc(OC)c12
548,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cccc(C)c12
461,COc1ccccc1OCCN(C)C(=O)c1cc(=O)[nH]c2ccccc12
707,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12
546,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cccc(F)c12
451,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cc(F)ccc12
731,CCNC(=O)[C@@H](c1cccnc1)N(C(=O)CC)c1ccc(C(C)(C)C)cc1
604,CN(C)c1ccc(N(Cc2ccsc2)C(=O)Cc2cncc3ccccc23)cc1
758,O=C(c1cc(=O)[nH]c(=O)[nH]1)N1CCN(c2ccc(Cl)c(C(F)(F)F)c2)CC1
756,Cc1c(Cl)cc(N2CCN(C(=O)c3cc(=O)[nH]c(=O)[nH]3)CC2)cc1Cl
636,CN(C)c1ccc(N(Cc2cccc(Cl)c2)C(=O)Cn2nnc3ccccc32)cc1
593,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2cccc(C(F)(F)F)c2)CC1
98,COc1ccc2cncc(NC(=O)[C@@H]3CCOc4ccc(Cl)cc43)c2c1
276,CC(C)(O)c1ccc2c(NC(=O)Cc3cccc(Cl)c3)cncc2c1
177,C[C@@]1(C(=O)Nc2cncc3ccccc23)CNc2ccc(Cl)cc21
427,Cc1ccncc1NC(=O)CNc1cc[nH+]c2ccccc12
66,Cc1cccc(CC(=O)Nc2cncc3ccccc23)c1
23,O=C1[C@H](c2cccc(Cl)c2)CCN1c1cncc2ccccc12
274,CNC(=O)CN1C[C@@H](C(=O)Nc2cncc3cc(S(C)(=O)=O)ccc23)c2cc(Cl)ccc2C1=O
238,CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)CS(=O)(=O)C1
337,CNC(=O)CN1C[C@@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O
211,O=C(Nc1cncc2ccccc12)[C@@H]1CN(S(=O)(=O)N2CCC2)Cc2ccc(Cl)cc21
330,CC(C)NC(=O)CN1C[C@@H](C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc2C1=O
291,CCNS(=O)(=O)N1Cc2ccc(Cl)cc2[C@H](C(=O)Nc2cncc3ccccc23)C1
5049,CC=1C(=CC=CC1C(=O)N2CCCC2)NC(=O)CC=3C=CC(F)=CN3
3293,CC=1NC=2C=CC=CC2C1SCCNC3CCCOCC3
1385,O=C(CC1CCCCC1)NC2CCC(CC2)C(=O)NCC3=CNC=N3
8480,CC1=CC(C)=NN1CC2=NN=C(N2C)N3CC(C)(C)OC(C)(C)C3
4409,COC=1C=CC=CC1N(C)C(=O)C2=CN3CCNCC3=N2
3203,"CC1=CC(C)=NN1CCCC(=O)N2CCO[C@H]3COCC[C@H]32 |&1:16,21,r|"
7324,CC1=NN=C2CCC(CNC(=O)NCC3CCC4(CCCCC4)CC3)CN12
1775,CC1=NN=C(C=2C=CC(=CC2)C(=O)N3CCNC(CC=4C=CC(F)=CC4)C3)N1C
5823,COC(=O)CC[C@H]1NC(=O)N(C1=O)C=2C=CC(Cl)=C(F)C2
6044,COCC=1C=CC=CC1C(=O)NC2CCN(CC2)C(=O)C=3C=CC=CC3
2220,O=S(=O)(CCNCC=1C=C2C=CC=CC2=NC1N3CCCCC3)C=4C=CC=CC4
5818,CC(NC(=O)C1CCCN1C(=O)CC=2C=CC=CC2)C3=NC=4C=CC=CC4N3C
5294,C[C@@H](NC(=O)C1CCCC2=CC=NN21)C=3C=CC(Cl)=CC3
2606,O=C(NCCN1CC2CCCCN2C1=O)C=3C=CC=C4SC=NC34
5971,CN(C(=O)C1(CCC1)C=2C(Cl)=CC=CC2Cl)[C@H]3C[C@H](C3)C(N)=O
7109,CCN(CC=1C=CC=2NC=CC2C1)C(=O)C=3C=CC=4C(=O)C=COC4C3
1049,CC(C)C1CCC(CNCC2=NN=C(N2)C3CCOCC3)CC1
1050,COC=1C=CC(=CC1)CC2CCN2C(=O)C3=C(N=C4C=CC=CN34)C(F)F
9085,CC=1N=C(SC1C(=O)NC(CC(F)F)C(=O)O)C=2C=CC(Cl)=CC2
10177,C=1C=CC(=NC1)C=2N=C(C=3C=CC=CC3N2)N4CCC(CC4)OC=5C=NC=CN5
12,CNC(=O)C1CN(C1)C=2N=CN=C3C2C=NN3C=4C=CC=CC4F
8466,CC=1C=CC(=C(C1)C(=O)NC2CCCOCC2)S(N)(=O)=O
4400,CC=1C=C(N=CC1S(N)(=O)=O)NCC=2C=CC=C3OCCCOC23
767,Br.COC=1C=CC(CCN=C2NCCCCN2)=C(Cl)C1OC
3484,CC(C1=CC=2C=CC=CC2O1)N(C)C(=O)C3=CN(C)N=C3C(C)(C)C
9591,O=C(C=1C=CC=CC1SCC2=CN3C=CC=CC3=N2)N4CNC(=O)C4
8793,CC(NC(=O)N1CCC[C@H]1CN2CCOCC2)C3=NC(CC=4C=CC=CC4)=NO3
8568,CC=1C=CC(Br)=C(C1)S(=O)(=O)N2CCC(CC2)C=3C=NN(C)C3
5152,CCCC(=O)NC1=NC=2C=CC(=CC2S1)NC(=O)C3=CC=NC=C3N4CCCC4
5274,CC=1C=CC=CC1NC(=O)NC(C)C2(O)CN(C2)C(=O)OC(C)(C)C
8684,O=C(CN1N=CN2N=CC=C2C1=O)N3CC4CCCN4CC=5C=CC=CC53
9809,CC=1C=CC=2C(=O)N(C(=O)C2C1)C(C)C(=O)NC=3C=CC=CC3
2112,O=C(N[C@@H]1C[C@H](C1)C(=O)OCC=2C=CC=CC2)C=3C=C(COC=4C=CC(F)=CC4)ON3
1663,COC=1C=CC(OC(F)F)=C(C1)CNC(=O)C2=NNC=3N=CNC(=O)C23
7342,CC1=NC2=C(CCCC2CNC(=O)NC3CC(C3)NS(C)(=O)=O)S1
399,CC=1C=CC=C2N=C(CNC(=O)C=3C=CC4=C(C3)NC(=O)N4C)N(C)C12
6064,CC(NC(=O)C=1C=CC(=CC1N2CCCC2)C(F)(F)F)C=3N=CNN3
6405,CON1CCC(CC1)NC(=O)C2CC(=NO2)C=3C=NN(C)C3
1651,"O=C(N[C@H]1C=2C=CC=CC2OC[C@H]1O)C3CCN(CC3)C4CCS(=O)(=O)C4 |&1:3,12,r|"
6947,O=C(CC1=NNC(=O)C=2C=CC=CC12)NC=3C=CC(O)=NN3
5027,CC1=CC=C(C(=O)NC2=CC=C(C=C2C)C(=O)NC3CCCC3)C(=O)N1
8401,CC(C)(C)CC=1C=CC=CC1C(=O)NCC2=NN=C3C(=O)NC=CN23
8471,O=C(NCC1CCCN(C1)C2=CC=C3C=CC=CC3=N2)C4CCCN4
3238,COC=1C=CC(F)=CC1CNC=2NN=CC2C(=O)N(C)C
3670,CCNC1=NC(=CS1)C(=O)N2CCC=3C=C(Cl)C=CC3C2
1953,CC(C(=O)NC(N)=O)N1CCCC(C1)NC=2C=CC=CC2
1973,O=C(CC=1C=CC=2NC(=O)NC2C1)N3CCOC(C3)C=4C=CC=CC4
4226,CN1C=NC=2C(=NC=NC21)N3CCC[C@H]3COC=4C=CC=CC4
6133,CC=1C=C(N=C(N1)C(C)C)N2CCN(CC2)C=3C=CC4=NC=CN=C4N3
3301,CCC=1C=CC=C(C1)S(=O)(=O)NCCCC=2C=CC=NC2
5061,CCOC=1C=C(C)N=C(N1)N2CCN(CC2)C(=O)C=3C=CN(N3)C=4C=CC=CC4
4954,CCC1=CNC=2N=CN=C(C12)N3CCCC(C3)N4C=C(C)C=N4
2667,COCC1(CC(=O)N2CC(C2)C=3C=NC=4C=CC=CC4N3)CC1
9535,CC=1C=C(F)C=CC1C=2C=NC(=CN2)C(=O)N3CCNC(C)(C)C3
7751,O=C(NC1CCN(C1)C=2N=CC=CC2F)C=3C=C(O)C=CN3
6497,COC(C)(C(=O)N1CC(C1)OC=2C=CC(C#N)=CC2)C3CC3
7912,CC1=NC2=CC(O)=NN2C(C)=C1CCC(=O)N[C@@H](CO)C=3C=CC=CC3
3706,CC(C)(C)C(=O)NCC=1C=CC(=CC1)C(=O)N2CCC(O)(CC2)C(F)F
3246,"O=C(O)[C@]12C[C@H]1CCCN2CC3=CN(N=N3)C=4C=CC=CC4 |&1:3,5,r|"
4652,CC1(CC1)C=2C=CC=CC2C(=O)NCC=3C=CC=C(C3)S(N)(=O)=O
1042,CC(NC(=O)C=1C=NN(C1N2C=CC=C2)C=3C=CC=CC3F)C(=O)NCC4=CC=CO4
2426,CC1C=2NC=3C=CC=CC3C2CCN1C(=O)C=4C=CC=5C(=O)N(CC=6C=CN=CC6)C(=O)C5C4
3025,O=C(NC=1C=C(C=CC1O)CC=2C=CC=CC2)C=3C=CC=C(N3)N4C=CN=C4
6987,CC=1C=C(NC(=O)N2[C@@H]3CC[C@H]2C[C@H](C3)C4=NC=CN4C)ON1
7122,CC1=NOC=2N=C(C=C(C3=NC(=NO3)C4=CN=C5C=NC=CN45)C12)C6=CC=CO6
5958,COC=1C=C(N=C(N1)N2CCN(CC2)C=3C=CN=C(C)N3)C(F)(F)F
4900,CC=1C=NC(=CC1C)C(=O)N2CCCNC(=O)C2CC=3C=CC=CC3
126,O=C(C=1C=CC(=NC1)N2C=CC=N2)N3CCOC(CC3)C=4C=CC=CC4
1315,CC1=CC=C(C(=O)NC=2C=CC=C(C2)OC=3C=CN=C4C=CC=CC34)C(=O)N1
3945,CC1(NC(=O)NC1=O)C=2C=CC(=CC2)C(=O)NCC=3C=CC(=CC3)CN4CCNC4=O
3825,CC(NC1=CN(C)N=C1OCC(F)F)C(=O)N2CC(=O)NC3=CC=CC=C32
5478,NC(=O)[C@@H]1CC=2C=CC=CC2CN1C(=O)CN3C=C4C=CC=CC4=N3
1494,CCOC=1C=CC(=CC1)CCC2=NC(=NO2)C3=CNC(=O)C=N3
2187,O=C(CCC=1C=NNC1)N2CC3CCN(C(=O)CC4CCCCC4)C(C3)C2
4641,CC=1C=CC(=CC1Cl)C(=O)N2CC3(C2)CC(O)CNC3=O
4603,CC1=CC(C)=NN1C=2C=CC(=CC2F)NC(=O)C3(C)CC(F)(F)C3
3478,CCCN(CC(=O)NC=1C=CC(Cl)=CC1Cl)C(=O)C=2C=C3C(=O)NC=NC3=CN2
5841,CC=1C=C(N=C(C)N1)N2CCC(CC2)NC=3N=CC=C(N3)C4=CN=CC=N4
9263,COC=1C=C(N=CN1)C(=O)N2CCCC3(CCCC4=CC=CC=C43)C2
4117,O=C(O)CC1(CCOCC1)NC(=O)C2=CC(=NS2)C=3C=CC=CC3
4929,O=C(C=1ON=C2CCCCC12)N3COCCC3C=4C=CC=CC4
8767,CC=1C=CC=2OC(=CC2C1)CN(CC3=CC=CO3)C(=O)C4=CC=C5NC(=O)NC5=C4
2395,CC=1NN=CC1C(=O)NCC2CC(C)N(C2)C3=NC=4C=CC(F)=CC4O3
748,CCN1C=CC(=N1)C(=O)NC=2C=CC(=CC2)C(=O)NC3CCCCC3
7868,O=C(CCC1CCCO1)N2CCC(CC2)C(O)C=3C=CC=CC3
1490,CC=1OC=NC1CN2CCN(CC2)C(=O)CC3=CC=CC(O)=C3
4910,CCS(=O)(=O)N1CCN(CC1)C(=O)C=2C=NN(C2)C=3C=CN=CC3
4701,CN1N=C(C=C1C2CC2)CNC(=O)CN3CCCCC(O)C3=O
3732,FC=1C=CC=C2C(=NC=NC12)OC=3C=CC(=CC3)N4C=CC=N4
5136,CN1CCC=2C=CC(=CC2C1=O)NC(=O)N3CCC(O)C3
